audio,id,labels,intent,annotator,annotation_id,created_at,updated_at,lead_time
/data/upload/3/1603a0be-captcha_07905052e7d74f519abd62278ae49d96.wav,59,"[{""start"": 0.06306892067620286, ""end"": 0.46671001300390114, ""labels"": [""label""]}, {""start"": 0.6369960988296488, ""end"": 1.2046163849154745, ""labels"": [""label""]}, {""start"": 1.3938231469440832, ""end"": 2.0371261378413523, ""labels"": [""label""]}, {""start"": 2.6362808842652794, ""end"": 3.254356306892068, ""labels"": [""label""]}, {""start"": 3.9733420026007797, ""end"": 4.458972691807542, ""labels"": [""label""]}]","[""8"", ""x"", ""j"", ""y"", ""u""]",1,32,2022-06-22T05:50:00.158255Z,2022-06-22T05:50:00.158309Z,37.453
/data/upload/3/735fd99e-captcha_253651a616724055a6682a41341b922c.wav,58,"[{""start"": 0, ""end"": 0.3017717815344603, ""labels"": [""label""]}, {""start"": 0.9245773732119636, ""end"": 1.4703348504551366, ""labels"": [""label""]}, {""start"": 1.6822171651495448, ""end"": 2.2408159947984396, ""labels"": [""label""]}, {""start"": 2.6902633289986992, ""end"": 3.1974967490247073, ""labels"": [""label""]}, {""start"": 3.8780884265279583, ""end"": 4.3724804941482445, ""labels"": [""label""]}]","[""s"", ""r"", ""m"", ""a"", ""d""]",1,31,2022-06-22T05:49:21.012118Z,2022-06-22T05:49:21.012161Z,63.068
/data/upload/3/41932893-captcha_5999ca4ad65a4f04905eaaa6c72be562.wav,57,"[{""start"": 0.08351625487646294, ""end"": 0.41758127438231474, ""labels"": [""label""]}, {""start"": 1.252743823146944, ""end"": 1.8512769830949287, ""labels"": [""label""]}, {""start"": 1.9278335500650199, ""end"": 2.2966970091027314, ""labels"": [""label""]}, {""start"": 3.45896488946684, ""end"": 3.8417477243172957, ""labels"": [""label""]}, {""start"": 4.565555266579975, ""end"": 5.0248946684005205, ""labels"": [""label""]}]","[""v"", ""a"", ""p"", ""c"", ""t""]",1,30,2022-06-22T05:48:13.502103Z,2022-06-22T05:48:13.502157Z,53.757
/data/upload/3/699dd50b-captcha_580ed842c5344dc492f69e7125a4cb4c.wav,56,"[{""start"": 0.05230445383615085, ""end"": 0.46492847854356306, ""labels"": [""label""]}, {""start"": 1.2320604681404421, ""end"": 1.7144237646293887, ""labels"": [""label""]}, {""start"": 2.2084102730819244, ""end"": 2.580353055916775, ""labels"": [""label""]}, {""start"": 2.89417977893368, ""end"": 3.423035923276983, ""labels"": [""label""]}, {""start"": 3.7252394343302995, ""end"": 4.207602730819246, ""labels"": [""label""]}]","[""t"", ""j"", ""b"", ""k"", ""e""]",1,29,2022-06-22T05:47:18.070268Z,2022-06-22T05:47:18.070300Z,39.13
/data/upload/3/042e3eb8-captcha_97cb7f41876142b9849ebd5349fb92cb.wav,55,"[{""start"": 0.23661898569570872, ""end"": 0.733518855656697, ""labels"": [""label""]}, {""start"": 1.2126723016905074, ""end"": 1.6445019505851757, ""labels"": [""label""]}, {""start"": 2.147317295188557, ""end"": 2.50224577373212, ""labels"": [""label""]}, {""start"": 2.7980195058517556, ""end"": 3.348158647594279, ""labels"": [""label""]}, {""start"": 3.608439531859558, ""end"": 4.0225227568270485, ""labels"": [""label""]}]","[""m"", ""v"", ""m"", ""u"", ""p""]",1,28,2022-06-22T05:46:36.445057Z,2022-06-22T05:46:36.445118Z,39.052
/data/upload/3/aa2834e7-captcha_32eda7dceb2c4b54959697115c1c34e3.wav,54,"[{""start"": 0.11963589076723018, ""end"": 0.8299739921976592, ""labels"": [""label""]}, {""start"": 0.9496098829648895, ""end"": 1.4580624187256177, ""labels"": [""label""]}, {""start"": 1.6749024707412223, ""end"": 2.2431729518855654, ""labels"": [""label""]}, {""start"": 2.422626788036411, ""end"": 2.9310793237971393, ""labels"": [""label""]}, {""start"": 3.551690507152146, ""end"": 4.194733420026008, ""labels"": [""label""]}]","[""r"", ""y"", ""u"", ""e"", ""h""]",1,27,2022-06-22T05:45:55.505553Z,2022-06-22T05:45:55.505597Z,41.398
/data/upload/3/c41c9a6f-captcha_8a08be37dfbf4e99ab0de59909252e87.wav,53,"[{""start"": 0.14041612483745125, ""end"": 0.8144135240572172, ""labels"": [""label""]}, {""start"": 0.961850455136541, ""end"": 1.7411599479843953, ""labels"": [""label""]}, {""start"": 2.267720416124838, ""end"": 2.843426527958388, ""labels"": [""label""]}, {""start"": 3.7350689206762033, ""end"": 4.184400520156047, ""labels"": [""label""]}, {""start"": 4.570544863459038, ""end"": 5.342833550065019, ""labels"": [""label""]}]","[""a"", ""h"", ""w"", ""v"", ""s""]",1,26,2022-06-22T05:45:12.487588Z,2022-06-22T05:45:12.487639Z,62.058
/data/upload/3/6e7df817-captcha_3fa73bee6e12412980e29d973b654045.wav,52,"[{""start"": 0.3760962288686606, ""end"": 0.7653888166449935, ""labels"": [""label""]}, {""start"": 1.7683120936280885, ""end"": 2.1444083224967487, ""labels"": [""label""]}, {""start"": 2.3885409622886864, ""end"": 2.8174226267880362, ""labels"": [""label""]}, {""start"": 3.7939531859557865, ""end"": 4.26902210663199, ""labels"": [""label""]}, {""start"": 4.546145643693108, ""end"": 4.922241872561768, ""labels"": [""label""]}]","[""x"", ""w"", ""w"", ""a"", ""v""]",1,25,2022-06-22T05:42:39.641959Z,2022-06-22T05:42:39.642012Z,37.014
/data/upload/3/ee10628d-captcha_02b9ee5f2b0645cf800935288e37b0a2.wav,51,"[{""start"": 0.13566189856957087, ""end"": 0.585812743823147, ""labels"": [""label""]}, {""start"": 1.0914616384915474, ""end"": 1.7204395318595578, ""labels"": [""label""]}, {""start"": 1.8191027308192456, ""end"": 2.324751625487646, ""labels"": [""label""]}, {""start"": 2.731737321196359, ""end"": 3.2127204161248377, ""labels"": [""label""]}, {""start"": 3.903362808842653, ""end"": 4.452176853055917, ""labels"": [""label""]}]","[""m"", ""w"", ""k"", ""n"", ""k""]",1,24,2022-06-22T05:42:01.323932Z,2022-06-22T05:42:01.323983Z,44.931
/data/upload/3/1e9a3567-captcha_0ea5e9e8b0394d6ab8d86c22d1c5a795.wav,50,"[{""start"": 0.08651235370611184, ""end"": 0.6527750325097529, ""labels"": [""label""]}, {""start"": 1.2819557867360207, ""end"": 1.8324889466840053, ""labels"": [""label""]}, {""start"": 2.280780234070221, ""end"": 2.7526657997399218, ""labels"": [""label""]}, {""start"": 3.1694980494148246, ""end"": 3.4998179453836147, ""labels"": [""label""]}, {""start"": 4.246970091027308, ""end"": 4.76604421326398, ""labels"": [""label""]}]","[""k"", ""e"", ""d"", ""d"", ""y""]",1,23,2022-06-22T05:41:14.369836Z,2022-06-22T05:41:14.369890Z,43.631
